iter,obs_within_iter,x1,x2,z,y1,y2,pred_mu_y1,pred_mu_y2,pred_sd_y1,pred_sd_y2,pred_err_y1,pred_err_y2,pred_rmse_iter,hv_after,igd_plus_after,fit_wall_sec,fit_cpu_sec,predict_wall_sec,predict_cpu_sec,acq_wall_sec,acq_cpu_sec,pred_eval_wall_sec,pred_eval_cpu_sec,iter_wall_sec,iter_cpu_sec,total_wall_sec,total_cpu_sec
1,1,-0.358974358974359,-1.17948717948718,c1,0.990866129753376,0.29131165867682,0.945568166315187,0.340399724191391,0.14360253998287,0.14360253998287,0.045297963438189,-0.0490880655145716,0.0472310473502885,0.528232391031706,0.174457800937348,0.279999999998836,0.300000000000182,0.799999999995634,1.25,1.62000000000262,22.1799999999835,0,0.0599999999990359,2.69999999999709,23.7899999999827,2.69999999999709,23.7899999999827
2,1,-1.28205128205128,-1.48717948717949,c1,0.999844931255751,0.609010512563448,0.90340701978231,0.409556880574107,0.142473433349466,0.155161503309954,0.0964379114734408,0.199453631989341,0.156655708614622,0.528232391031706,0.174457800937348,0.470000000001164,0.590000000018335,1.0199999999968,0.999999999979082,0.0299999999988358,0.190000000002328,0.0300000000061118,0,1.55000000000291,1.77999999999975,4.25,25.5699999999824
3,1,-1.38461538461538,-1.17948717948718,c1,0.999641842738956,0.494476699905036,0.909315136055961,0.393140022681563,0.145129519096585,0.145129519096586,0.0903267066829945,0.101336677223473,0.0959896767649785,0.528232391031706,0.174457800937348,3.83999999999651,0.400000000006003,0.980000000003201,0.920000000000073,3.94000000000233,30.080000000009,0.0499999999956344,0,8.80999999999767,31.4000000000151,13.0799999999945,56.9699999999975
4,1,1.79487179487179,0.769230769230769,c2,0.944892807984742,0.749783835173974,0.677010996075142,0.692959229975726,0.144006771226009,0.143979115137696,0.267881811909599,0.0568246051982485,0.193635870783162,0.528232391031706,0.174457800937348,0.840000000003783,0.329999999990832,0.830000000001746,1.45999999999549,2.91999999999825,29.0000000000009,0.0299999999988358,0,4.62000000000262,30.7899999999872,17.6999999999971,87.7599999999848
5,1,0.871794871794872,0.769230769230769,c2,0.28050654679743,0.740651159859865,0.53403451963115,0.675761019311446,0.11595907048291,0.115820623163949,-0.25352797283372,0.0648901405484188,0.185050213927962,0.596922956550396,0.141356046346263,0.480000000003201,0.470000000015261,0.819999999999709,1.35000000000127,2.51000000000204,29.4499999999834,0,0,3.81000000000495,31.27,21.5299999999988,119.029999999985
6,1,0.666666666666667,0.256410256410256,c2,0.435159393982917,0.69013232492973,0.43310044531601,0.646952656642134,0.151932745822462,0.183262448218052,0.00205894866690748,0.0431796682875958,0.0305673275168092,0.325067386278856,0.131934558822823,0.470000000001164,0.440000000003693,0.639999999999418,1.27999999999292,0,0.25,0.0100000000020373,0,1.12000000000262,1.96999999999662,22.6699999999983,120.999999999981
7,1,0.153846153846154,0.461538461538462,c2,0.556775321806536,0.628394327256279,0.566759488670241,0.680210011271198,0.134175189306234,0.120802666252283,-0.00998416686370418,-0.0518156840149194,0.0373131926930427,0.351867283569945,0.121597888160865,0.599999999998545,0.480000000003656,0.730000000003201,1.30000000001155,0.0199999999967986,0.0199999999895226,0,0.0100000000093132,1.34999999999854,1.81000000001404,24.0199999999968,122.809999999995
8,1,-0.666666666666667,-0.871794871794872,c1,0.987476944778629,0.0283480065405777,0.968220830637077,0.292506168136813,0.0765412848507948,0.104166046532422,0.0192561141415524,-0.264158161596235,0.1872836515419,0.398408832883323,0.103409359814139,0.529999999998836,0.500000000000909,0.760000000002037,0.969999999983884,0,0.220000000001164,0.0199999999967986,0,1.30999999999767,1.68999999998596,25.3299999999945,124.499999999981
9,1,-0.358974358974359,-0.256410256410256,c1,0.873168276018951,0.276983720761294,0.857074570820366,0.293501782977192,0.114953080952494,0.116630931038755,0.0160937051985854,-0.016518062215898,0.0163072641235011,0.438578111499796,0.0906099550188261,0.340000000003783,0.590000000000146,0.659999999996217,1.39000000000442,0.0500000000029104,0.149999999994179,0.319999999999709,0,1.4800000000032,2.14999999999873,26.8099999999977,126.64999999998
10,1,-0.666666666666667,-0.666666666666667,c2,1.22705159794317,-0.246734537533109,1.21572558684045,-0.170059990520977,0.0801332582496171,0.0833501841313701,0.0113260111027151,-0.0766745470121323,0.0548054043275593,0.462819436721674,0.0717472867571551,2.38999999999942,0.20000000001528,1.27999999999884,0.990000000001146,0,0.269999999999982,0.0800000000017462,0,3.75,1.46000000001641,30.5599999999977,128.109999999996
