iter,obs_within_iter,x1,x2,z,y1,y2,pred_mu_y1,pred_mu_y2,pred_sd_y1,pred_sd_y2,pred_err_y1,pred_err_y2,pred_rmse_iter,hv_after,igd_plus_after,fit_wall_sec,fit_cpu_sec,predict_wall_sec,predict_cpu_sec,acq_wall_sec,acq_cpu_sec,pred_eval_wall_sec,pred_eval_cpu_sec,iter_wall_sec,iter_cpu_sec,total_wall_sec,total_cpu_sec
1,1,0.871794871794872,1.48717948717949,c2,0.720401228386723,0.749329725117498,0.731980693676385,0.674889450060561,0.139350004474017,0.139350004708878,-0.011579465289662,0.0744402750569376,0.05327024763856,0.429324615472705,0.243914920432101,0.269999999996799,0.0100000000093132,1,1.57999999998856,2.41000000000349,21.6900000000032,0.069999999999709,0,3.7699999999968,23.2800000000011,3.7699999999968,23.2800000000011
2,1,-0.153846153846154,1.28205128205128,c2,0.907608731328856,0.735917848327931,0.657094873693799,0.702877309343776,0.125996786242297,0.125996786674763,0.250513857635056,0.0330405389841555,0.178674102885058,0.429324615472705,0.243914920432101,0.120000000002619,0.0400000000095133,0.389999999999418,0.549999999998818,2.48999999999796,21.9599999999919,0,0,3,22.5500000000002,6.7699999999968,45.8300000000013
3,1,0.871794871794872,1.38461538461538,c1,0.385004344180261,0.998959685334587,0.470401208258627,0.92254556297644,5.7042796790155e-05,0.13556760640389,-0.0853968640783656,0.0764141223581466,0.0810300638349269,0.429324615472705,0.243914920432101,0.0300000000061118,0,0.559999999997672,1.21000000000913,3,22.309999999999,0.0199999999967986,0,3.61000000000058,23.5200000000082,10.3799999999974,69.3500000000095
4,1,0.871794871794872,1.28205128205128,c2,0.550705525840123,0.748418972347399,0.701034205417408,0.668819623779133,0.107898159495987,0.142117662445002,-0.150328679577285,0.0795993485682663,0.120280439382184,0.429324615472705,0.243914920432101,0.0500000000029104,0.0199999999895226,0.569999999999709,1.87000000001035,2.55000000000291,22.0699999999897,0.0799999999944703,0,3.25,23.9599999999896,13.6299999999974,93.309999999999
5,1,0.871794871794872,0.974358974358974,c2,0.343845902574724,0.745108506079118,0.482628373829623,0.752044887352989,0.0734145904559067,0.101576206367936,-0.138782471254898,-0.00693638127387119,0.0982565206813096,0.480481980435881,0.217803400303022,0.110000000000582,0.229999999995016,0.819999999999709,1.63000000001875,2.77999999999884,22.7200000000025,0.0400000000008731,0.0099999999802094,3.7699999999968,24.5899999999965,17.4099999999962,117.899999999996
6,1,0.769230769230769,0.871794871794872,c2,0.28050654679743,0.740651159859865,0.587799763472595,0.687998708775922,0.17000394145543,0.170004069329157,-0.307293216675165,0.0526524510839423,0.220455666313793,0.500465964457804,0.207560439511638,2.09000000000378,0,0.889999999999418,1.67000000001281,3.06999999999971,22.7800000000011,0.0400000000008731,0,6.11000000000058,24.4500000000139,23.5199999999968,142.350000000009
7,1,0.564102564102564,0.974358974358974,c2,0.337779864016114,0.738242927288916,0.57509513714071,0.686019383604807,0.185436252136718,0.185439760219955,-0.237315273124596,0.0522235436841088,0.171822346295713,0.203706595976273,0.20702463573605,2.25,0,0.810000000004948,1.74000000000115,2.02999999999884,16.4400000000023,0.0999999999985448,0,5.20000000000437,18.1800000000035,28.7200000000012,160.530000000013
8,1,0.769230769230769,0.666666666666667,c2,0.255479723991741,0.732868322585151,0.519613098968253,0.692135092474907,0.208842481428447,0.208845094069623,-0.264133374976512,0.0407332301102437,0.188978353008614,0.208846454188674,0.200014181125889,3.38999999999942,0.119999999996253,1.83000000000175,0.679999999993015,3.12999999999738,23.1499999999955,0.0299999999988358,0,8.37999999999738,23.9700000000034,37.0999999999985,184.500000000016
9,1,0.256410256410256,0.256410256410256,c2,0.583859530083524,0.593817512459323,0.588968089572401,0.665166167077011,0.0698292228764727,0.0756171955951536,-0.00510855948887667,-0.0713486546176885,0.0505802723193815,0.257272650405068,0.178549821172,2.91999999999825,0.309999999994034,0.950000000004366,1.60999999999194,1.7699999999968,16.2500000000118,0,0,5.63999999999942,18.1699999999978,42.739999999998,202.670000000014
10,1,-0.256410256410256,-0.461538461538462,c2,1.14914755642544,-0.0184105202575667,0.883843921192693,0.437991160446245,0.168245498986811,0.172225120211879,0.26530363523275,-0.456401680703812,0.373288436076566,0.318220029286357,0.127409382304866,0.0299999999988358,0.0599999999799365,1.53000000000611,2.07000000000698,2.60999999999331,16.140000000014,0,0,4.16999999999825,18.2700000000009,46.9099999999962,220.940000000015
11,1,0.0512820512820511,-0.666666666666667,c2,1.15146658624418,0.188300923788875,0.841617625027652,0.374745358417158,0.182297633454177,0.192729739039731,0.30984896121653,-0.186444434628283,0.255702860729815,0.246901190002373,0.127409382304866,0.0300000000061118,0.049999999980173,0.639999999999418,1.95000000002119,2.57999999999447,15.7099999999928,0.110000000000582,0,3.36000000000058,17.7099999999941,50.2699999999968,238.650000000009
12,1,0.358974358974359,-0.358974358974359,c2,0.965699977391588,0.465699977391588,0.760675668932777,0.369708286875493,0.171005858662955,0.173274913314998,0.205024308458811,0.0959916905160944,0.160077124704236,0.251200224725712,0.126878531099337,0.620000000002619,0.0199999999895226,0.690000000002328,2.01000000001159,1.87999999999738,15.849999999999,0,0,3.19000000000233,17.8800000000001,53.4599999999991,256.530000000009
