iter,obs_within_iter,x1,x2,z,y1,y2,pred_mu_y1,pred_mu_y2,pred_sd_y1,pred_sd_y2,pred_err_y1,pred_err_y2,pred_rmse_iter,hv_after,igd_plus_after,fit_wall_sec,fit_cpu_sec,predict_wall_sec,predict_cpu_sec,acq_wall_sec,acq_cpu_sec,pred_eval_wall_sec,pred_eval_cpu_sec,iter_wall_sec,iter_cpu_sec,total_wall_sec,total_cpu_sec
1,1,0.564102564102564,0.564102564102564,c1,0.0321908108339313,0.266227064223625,0.177980323041371,0.383679774403841,0.147485076557717,0.147485076557717,-0.14578951220744,-0.117452710180216,0.132381496060366,0.00800685768956277,0.514847706442672,0.219999999997526,0.170000000003711,0.860000000000582,0.769999999996344,0.68999999999869,6.62000000001126,0,0,1.77999999999884,7.56000000001131,1.77999999999884,7.56000000001131
2,1,0.564102564102564,0.358974358974359,c1,0.107132523415468,0.305083349398196,0.0898304221768778,0.313658605120939,0.089837854570554,0.0898378545705539,0.0173021012385901,-0.00857525572274331,0.0136546277499766,0.00142337061347627,0.514847706442672,0.579999999998108,0.71000000001095,1.2400000000016,2.04999999998699,0.729999999999563,6.66999999999962,0,0,2.54999999999927,9.42999999999756,4.32999999999811,17.0099999999984
3,1,-2,-0.0512820512820513,c2,0.650355891892646,0.520344579717295,0.496432416192956,0.345196325081176,0.175296760701201,0.175301765841017,0.15392347569969,0.175148254636118,0.164877753917185,0.00142337061347627,0.514847706442672,0.409999999999854,0.279999999998381,0.760000000002037,1.71000000000095,0.739999999997963,6.47000000000253,0.0100000000020373,0,1.92000000000189,8.46000000000186,6.25,25.4900000000043
4,1,-1.17948717948718,-0.358974358974359,c2,0.158163708715774,-0.0358120817615802,0.403352600627227,0.247170945396045,0.139636155301924,0.139621433746946,-0.245188891911453,-0.282983027157625,0.26476120030705,0.0809250873207882,0.263445537876658,0.519999999996799,0.369999999997617,0.940000000002328,2.03999999999814,0.540000000000873,6.23000000000366,0,0,2,8.63999999999942,8.25,34.1300000000037
5,1,-0.974358974358974,-0.666666666666667,c2,0.0358704146886449,-0.20014431411254,0.140771371414037,-0.0720225117468357,0.0934705401089102,0.0934934898434987,-0.104900956725392,-0.128121802365704,0.117088442989347,0.0670944696128039,0.0586081279648446,0.639999999999418,0.309999999998581,1.02999999999884,1.72999999999729,0.990000000001601,6.38000000000466,0.0499999999992724,0,2.71999999999753,8.42000000000053,10.9699999999975,42.5500000000043
6,1,-0.666666666666667,-0.666666666666667,c2,0.00163406631981444,-0.247713055045128,0.0788121759902198,-0.164571742171895,0.0683917218955727,0.0683917218955728,-0.0771781096704054,-0.0831413128732329,0.0802151435783229,0.01939838848541,0,3.54999999999927,0.220000000003438,1.06000000000131,0.899999999996908,0.950000000000728,6.4399999999996,0.0200000000004366,0,5.59000000000015,7.55999999999995,16.5599999999977,50.119999999999
7,1,-0.666666666666667,-0.871794871794872,c2,0.0142759039876207,-0.230070962685572,0.0212577841344962,-0.221427404250578,0.0297138722790242,0.0297138722790247,-0.00698188014687551,-0.00864355843499409,0.00785677264544711,1.00003425282587e-26,0,3.54999999999927,0.440000000000055,1.05000000000291,1.09000000001288,0.5,3.15999999998894,0.109999999996944,0.0200000000040745,5.22000000000116,4.71000000000595,21.7799999999988,54.8300000000049
8,1,-1.48717948717949,-1.8974358974359,c2,0.636762509853519,0.507748244632459,0.584200278654224,0.402625213780308,0.202721044362592,0.202721044362592,0.052562231199295,0.105123030852151,0.0831072793568362,1.00003425282587e-26,0,3.80999999999767,0.239999999992961,0.740000000001601,0.940000000013697,0.5,3.16999999999962,0.110000000000582,0,5.16999999999825,4.35000000000628,26.9699999999975,59.1800000000112
9,1,-0.769230769230769,-0.666666666666667,c2,0.00274362573696274,-0.24616103282108,0.000790703761989642,-0.247401525181113,0.00394874366824843,0.00394874366824843,0.0019529219749731,0.00124049236003276,0.00163595928061069,1.00003425282587e-26,0,3.90999999999985,0.519999999987704,0.81000000000131,0.90000000001146,0.520000000000437,3.14999999999009,0,0,5.2400000000016,4.56999999998925,32.2099999999991,63.7500000000005
10,1,2,1.07692307692308,c1,0.764647190643677,0.764868255670356,0.677168168656242,0.84476631384514,0.261654981023209,0.261654981023209,0.0874790219874355,-0.0798980581747839,0.0837743367266473,1.00003425282587e-26,0,0.759999999998399,0.440000000003238,0.740000000001601,0.909999999993943,0.459999999999127,3.09000000000697,0.0400000000008731,0,2,4.44999999999891,34.2099999999991,68.1999999999994
11,1,-0.666666666666667,-0.769230769230769,c2,0.00274362573696274,-0.24616103282108,0.000963491174990394,-0.247477563815372,0.00195412292177008,0.00195412292176514,0.00178013456197235,0.00131653099429174,0.00156558821496256,1.00003425282587e-26,0,0.509999999998399,0.309999999999036,0.690000000002328,1.05999999999995,0.479999999999563,3.10000000000173,0.0200000000004366,0,1.70000000000073,4.47000000000071,35.9099999999999,72.6700000000001
12,1,-1.79487179487179,-1.79487179487179,c1,0.999955313310382,1.24331518963482,0.82613918826769,0.945129488597785,0.253024245020072,0.253024245020072,0.173816125042691,0.298185701037036,0.244056097678183,1.00003425282587e-26,0,0.279999999998836,0.449999999997544,0.829999999998108,1.11000000001286,0.370000000002619,3.11000000000058,0,0,1.47999999999956,4.67000000001099,37.3899999999994,77.3400000000111
13,1,1.8974358974359,1.48717948717949,c2,0.996970226443714,0.749702166024115,0.690180280262754,0.521157968673959,0.195466422227776,0.195466422227776,0.30678994618096,0.228544197350156,0.270511109956822,1.00003425282587e-26,0,0.609999999996944,0.719999999992069,0.760000000002037,1.13999999999714,0.319999999999709,3.1900000000046,0,0.0899999999965075,1.68999999999869,5.13999999999032,39.0999999999985,82.4800000000014
14,1,-0.769230769230769,-0.769230769230769,c2,0.00385195201698296,-0.244611424891375,0.00394109808515641,-0.244730670609712,0.00139922361221457,0.0013992236122199,-8.91460681734513e-05,0.000119245718337324,0.000105277164695318,1.00003425282587e-26,0,0.419999999998254,0.460000000000491,0.780000000002474,1.09999999999809,0.409999999999854,2.92000000000462,0,0,1.61000000000058,4.4800000000032,40.7099999999991,86.9600000000046
15,1,-0.666666666666667,-0.666666666666667,c2,0.00163406631981444,-0.247713055045128,0.00163433127719226,-0.247713151397872,3.06953455695522e-05,3.06953453408257e-05,-2.64957377815733e-07,9.63527445607681e-08,1.9935679502262e-07,1.00003425282587e-26,0,0.389999999999418,0.679999999996198,0.75,1.17000000000326,0.25,2.82999999999765,0.00999999999839929,0,1.39999999999782,4.67999999999711,42.1099999999969,91.6400000000017
16,1,-0.666666666666667,-0.666666666666667,c2,0.00163406631981444,-0.247713055045128,0.00163419881955784,-0.247713103240575,2.57399194243295e-05,2.57399191686158e-05,-1.3249974339935e-07,4.81954474107482e-08,9.96969988314991e-08,1.00003425282587e-26,0,0.5,0.730000000010023,0.920000000001892,1.18999999999869,0.319999999999709,3.43999999998914,0,0.0200000000040745,1.7400000000016,5.38000000000193,43.8499999999985,97.0200000000036
17,1,-0.666666666666667,-0.666666666666667,c2,0.00163406631981444,-0.247713055045128,0.00163415465765482,-0.247713087179667,2.35435040967027e-05,2.35435038335782e-05,-8.83378403759849e-08,3.2134539140749e-08,6.64687996284021e-08,1.00003425282587e-26,0,1.5099999999984,1.07000000000744,1.33000000000175,0.889999999989413,0.479999999999563,3.19999999999709,0.0400000000008731,0,3.36999999999898,5.15999999999394,47.2199999999975,102.179999999998
18,1,-0.666666666666667,-0.666666666666667,c2,0.00163406631981444,-0.247713055045128,0.00163413257495448,-0.247713079147625,2.21537284558083e-05,2.21537281256881e-05,-6.62551400409939e-08,2.41024969982462e-08,4.9853154079768e-08,1.00003425282587e-26,0,3.28000000000247,1.0400000000036,1.09999999999854,0.970000000000255,0.450000000000728,3.52999999999975,0.00999999999839929,0,4.84000000000015,5.5400000000036,52.0599999999977,107.720000000001
19,1,-0.666666666666667,-0.666666666666667,c2,0.00163406631981444,-0.247713055045128,0.0016341193247712,-0.247713074327893,2.11272439602247e-05,2.11272436322838e-05,-5.30049567570856e-08,1.92827649403426e-08,3.98832700801039e-08,1.00003425282587e-26,0,2.36000000000058,0.729999999998199,1.4900000000016,1.23000000001139,0.469999999997526,3.39999999999418,0.0200000000004366,0,4.36000000000058,5.36000000000377,56.4199999999983,113.080000000005
20,1,-0.666666666666667,-0.666666666666667,c2,0.00163406631981444,-0.247713055045128,0.00163411049107864,-0.247713071114517,2.03042974697519e-05,2.03042972752491e-05,-4.41712642018643e-08,1.60693892636843e-08,3.32364698223105e-08,1.00003425282587e-26,0,3.15999999999985,0.79000000000633,1.13000000000102,1.01999999998952,0.459999999999127,3.16999999999916,0.0400000000008731,0,4.79000000000087,4.97999999999502,61.2099999999991,118.06
21,1,-0.666666666666667,-0.666666666666667,c2,0.00163406631981444,-0.247713055045128,0.00163410418118448,-0.247713068819151,1.96117451901477e-05,1.96117451262203e-05,-3.78613700391384e-08,1.37740234773531e-08,2.84886561985226e-08,1.00003425282587e-26,0,3.34000000000015,0.460000000001855,1,0.790000000009968,0.419999999998254,3.25,0,0,4.7599999999984,4.50000000001182,65.9699999999975,122.560000000012
22,1,-0.666666666666667,-0.666666666666667,c2,0.00163406631981444,-0.247713055045128,0.00163409944870241,-0.247713067097566,1.90105670672298e-05,1.90105669413271e-05,-3.31288879662495e-08,1.20524386026943e-08,2.49277405128506e-08,1.00003425282587e-26,0,1.11000000000058,0.519999999992251,0.639999999999418,0.950000000000728,0.360000000000582,3.08999999999651,0,0,2.11000000000058,4.55999999998949,68.0999999999985,127.120000000001
23,1,-0.666666666666667,-0.666666666666667,c2,0.00163406631981444,-0.247713055045128,0.00163409576784868,-0.24771306575852,1.8477582277209e-05,1.84775820913557e-05,-2.94480342333259e-08,1.07133920623781e-08,2.21581078805181e-08,1.00003425282587e-26,0,0.819999999999709,0.519999999998618,1,1.20000000001073,0.520000000000437,3.11000000000058,0,0,2.34000000000015,4.83000000000993,70.4399999999987,131.950000000011
24,1,-0.666666666666667,-0.666666666666667,c2,0.00163406631981444,-0.247713055045128,0.00163409282313454,-0.24771306468727,1.79978720786702e-05,1.79978718348613e-05,-2.65033200941289e-08,9.64214219578707e-09,1.99423780193792e-08,1.00003425282587e-26,0,0.549999999999272,0.580000000000382,0.670000000001892,0.939999999991414,0.599999999998545,3.15000000000873,0.0300000000024738,0,1.86000000000058,4.67000000000053,72.2999999999993,136.620000000012
25,1,-0.666666666666667,-0.666666666666667,c2,0.00163406631981444,-0.247713055045128,0.00163409041381313,-0.247713063810774,1.75612249578927e-05,1.75612248979235e-05,-2.40939986850819e-08,8.76564676399738e-09,1.81294971776371e-08,1.00003425282587e-26,0,0.299999999999272,0.769999999991796,0.860000000000582,1.25999999999522,0.340000000000146,3.18000000000484,0,0,1.5,5.21999999998661,73.8099999999977,141.839999999998
26,1,-0.666666666666667,-0.666666666666667,c2,0.00163406631981444,-0.247713055045128,0.00163408840602608,-0.247713063080357,1.71603041989588e-05,1.71603040219293e-05,-2.2086211637351e-08,8.03522892667274e-09,1.66187491766664e-08,1.00003425282587e-26,0,0.430000000000291,0.540000000012697,0.760000000002037,1.08999999999151,0.389999999999418,3.02000000000226,0,0,1.60000000000218,4.65000000000646,75.4099999999999,146.490000000005
27,1,-0.666666666666667,-0.666666666666667,c2,0.00163406631981444,-0.247713055045128,0.00163408670713538,-0.247713062462295,1.67896296999992e-05,1.67896295257629e-05,-2.03873209425609e-08,7.4171671027301e-09,1.53404240985183e-08,1.00003425282587e-26,0,0.529999999998836,0.91000000000713,0.81000000000131,1.19999999999163,0.389999999999418,3.0699999999988,0,0,1.72999999999956,5.17999999999756,77.1399999999994,151.670000000002
28,1,-0.666666666666667,-0.666666666666667,c2,0.00163406631981444,-0.247713055045128,0.00163408525092767,-0.247713061932526,1.64449781151744e-05,1.64449778292831e-05,-1.89311132325898e-08,6.88739865140064e-09,1.42447061817443e-08,1.00003425282587e-26,0,0.419999999998254,0.669999999991887,0.970000000001164,1.32000000000062,0.470000000001164,3.23000000000638,0.0599999999976717,0,1.93999999999869,5.21999999999889,79.0799999999981,156.900000000011
29,1,-0.666666666666667,-0.666666666666667,c2,0.00163406631981444,-0.247713055045128,0.0016340839888852,-0.247713061473389,1.61230093574251e-05,1.6123009188498e-05,-1.76690707620608e-08,6.42826181174172e-09,1.32950857747329e-08,1.00003425282587e-26,0,1.25,0.899999999991451,1.31000000000131,0.980000000009113,0.459999999999127,3.19999999998799,0.0400000000008731,0,3.06000000000131,5.07999999998856,82.1399999999994,161.979999999999
30,1,-0.666666666666667,-0.666666666666667,c2,0.00163406631981444,-0.247713055045128,0.00163408825664757,-0.24771303592079,2.98495329380522e-05,2.98495331473664e-05,-2.19368331277892e-08,-1.91243375580186e-08,2.05786896413439e-08,1.00003425282587e-26,0,2.41999999999825,0.410000000003947,1.18000000000029,1.11000000000149,0.470000000001164,3.14999999999554,0.0400000000008731,0,4.11000000000058,4.69000000000506,86.25,166.670000000004
