iter,obs_within_iter,x1,x2,z,y1,y2,pred_mu_y1,pred_mu_y2,pred_sd_y1,pred_sd_y2,pred_err_y1,pred_err_y2,pred_rmse_iter,hv_after,igd_plus_after,fit_wall_sec,fit_cpu_sec,predict_wall_sec,predict_cpu_sec,acq_wall_sec,acq_cpu_sec,pred_eval_wall_sec,pred_eval_cpu_sec,iter_wall_sec,iter_cpu_sec,total_wall_sec,total_cpu_sec
1,1,-0.153846153846154,-1.17948717948718,c2,0.23250267220861,0.0595891292292992,0.353884592957407,0.167962284909903,0.105378322854291,0.0536194556766801,-0.121381920748798,-0.108373155680604,0.115061530401867,0.00992495190441302,0.384363038864131,0.330000000001746,0.0299999999988358,0.110000000000582,0.0399999999790452,0,0,0.0299999999988358,0.0200000000186265,0.470000000001164,0.0899999999965075,0.470000000001164,0.0899999999965075
2,1,-0.0512820512820513,-2,c2,0.650355891892646,0.520344579717295,0.225346213351778,0.048829497906539,0.0577203365860855,0.0636492364386616,0.425009678540868,0.471515081810756,0.448865068382702,1.00006677997707e-26,0.384363038864131,0.0299999999988358,0.0199999999895226,0.0400000000008731,0.0100000000093132,0,0.220000000001164,0,0,0.069999999999709,0.25,0.540000000000873,0.339999999996508
3,1,-0.358974358974359,-0.974358974358974,c2,0.0918175269620848,-0.123861010635476,0.173965766370211,0.213318038772585,0.06514069938147,0.203112929911822,-0.0821482394081267,-0.337179049408061,0.245395644416908,0.0258087095724036,0.153207002052342,0.0799999999944703,0.0399999999981446,0.0900000000037835,0.0199999999895226,0,0,0.0299999999988358,0,0.219999999993888,0.0599999999876673,0.769999999996799,0.399999999984175
4,1,-0.564102564102564,-0.769230769230769,c2,0.0120812268225879,-0.233127249366589,0.0613275846353278,-0.214860085364253,0.0476007803950947,0.0401645084835949,-0.0492463578127399,-0.0182671640023356,0.0371409008944899,0.00871248560659685,0.0179412622148723,0.160000000003492,0.0299999999988358,0.0299999999988358,0.0100000000093132,0,0.0199999999895226,0.0100000000020373,0,0.200000000004366,0.0599999999976717,0.970000000001164,0.459999999981846
5,1,-0.769230769230769,-0.769230769230769,c2,0.00385195201698296,-0.244611424891375,-0.00676807255340917,-0.225345915904893,0.0159286755382266,0.0401202189851887,0.0106200245703921,-0.0192655089864818,0.0155554613943776,9.45064363112389e-05,0.00381302066298785,0.0299999999988358,0,0.0400000000008731,0.0400000000081491,0,0.0099999999802094,0,0,0.069999999999709,0.0499999999883585,1.04000000000087,0.519999999979518
6,1,-0.666666666666667,-0.666666666666667,c2,0.00163406631981444,-0.247713055045128,0.00141478788214422,-0.247740541363836,0.00240948899379245,0.00655236960854679,0.000219278437670223,2.7486318708636e-05,0.000156266648622229,6.87906115644654e-06,0,0.0499999999956344,0.0299999999988358,0.0600000000049477,0.0700000000069849,0,0,0,0.0100000000093132,0.110000000000582,0.110000000015134,1.16000000000349,0.629999999994652
7,1,-0.769230769230769,-0.666666666666667,c2,0.00274362573696274,-0.24616103282108,0.00211717134261535,-0.246421557315148,0.000844557996666254,0.00139020768417015,0.000626454394347387,0.000260524494067438,0.00047974895529133,1.00003425282587e-26,0,0.0100000000020373,0.0199999999895226,0.0499999999956344,0.0499999999992724,0,0,0,0.0100000000002183,0.0599999999976717,0.0799999999890133,1.23999999999796,0.709999999983665
8,1,2,-2,c2,0.988891003461758,0.748163695222971,0.813000214474601,0.568287889449899,0.275978527409857,0.318354654788012,0.175890788987156,0.179875805773072,0.177894456283826,1.00003425282587e-26,0,0.0999999999985448,0,0.0600000000049477,0.0299999999988358,0,0,0,0,0.160000000003492,0.0299999999988358,1.41000000000349,0.749999999991815
9,1,-0.0512820512820513,2,c1,0.834267659267116,0.842897628681821,0.585971919924931,0.770769084774035,0.263481200593812,0.297751163770998,0.248295739342185,0.0721285439077863,0.182829566839912,1.00003425282587e-26,0,0.0100000000020373,0.0700000000069849,0.0499999999956344,0.0299999999988358,0,0.0099999999802094,0,0,0.0599999999976717,0.10999999998603,1.48999999999796,0.859999999977845
10,1,-0.666666666666667,-0.666666666666667,c2,0.00163406631981444,-0.247713055045128,0.00163068053555726,-0.247713754421165,5.45194888849669e-05,4.74844262044622e-05,3.38578425718161e-06,6.99376037194277e-07,2.44465354166806e-06,1.00003425282587e-26,0,0.0199999999967986,0.290000000000873,0.0600000000049477,0.0500000000174623,0.0199999999967986,0,0,0,0.110000000000582,0.340000000018335,1.61000000000058,1.19999999999618
11,1,-0.564102564102564,2,c2,0.974636360984997,0.744166943421868,0.854822869242453,0.669679978110487,0.243184697456528,0.270392269233027,0.119813491742545,0.0744869653113811,0.0997586607890254,1.00003425282587e-26,0,0.0500000000029104,0.0599999999885767,0.0599999999976717,0.119999999995343,0.0199999999967986,0,0,0,0.129999999997381,0.200000000002547,1.73999999999796,1.39999999999873
12,1,-0.666666666666667,-0.666666666666667,c2,0.00163406631981444,-0.247713055045128,0.00163371792145273,-0.247713518368456,3.64327325773176e-05,3.99464901595128e-05,3.48398361715851e-07,4.63323328592224e-07,4.09908480800329e-07,1.00003425282587e-26,0,0.0100000000020373,0.0099999999802094,0.069999999999709,0.0700000000069849,0.0100000000020373,0,0,0,0.0900000000037835,0.0799999999871943,1.83000000000175,1.47999999998592
13,1,-2,-1.28205128205128,c2,0.632512886835896,0.50377113697116,0.588277552393308,0.417195858567577,0.191016285289667,0.176924426728117,0.0442353344425881,0.0865752784035829,0.068746067683561,1.00003425282587e-26,0,0.25,0.0599999999976717,0.129999999997381,0.0299999999988358,0.0100000000020373,0,0.110000000000582,0,0.5,0.10999999998603,2.33000000000175,1.59999999998126
14,1,-0.666666666666667,-0.666666666666667,c2,0.00163406631981444,-0.247713055045128,0.00163410616691917,-0.247713188741169,3.39573630866332e-05,3.42059970583883e-05,-3.98471047269311e-08,1.33696041682008e-07,9.86469039467437e-08,1.00003425282587e-26,0,0.200000000004366,0,0.0899999999965075,0.0500000000174623,0.0200000000040745,0,0.0799999999944703,0,0.400000000001455,0.0500000000174623,2.75,1.64999999999873
15,1,-0.666666666666667,-0.666666666666667,c2,0.00163406631981444,-0.247713055045128,0.00163422617440723,-0.247713120969683,3.77557419385833e-05,3.14788599679992e-05,-1.59854592785003e-07,6.59245555922894e-08,1.22269247696426e-07,1.00003425282587e-26,0,0.160000000003492,0.249999999996362,0.0599999999976717,0.0299999999988358,0,0,0.0299999999988358,0,0.25,0.29999999998472,3,1.94999999998345
16,1,-0.666666666666667,-0.666666666666667,c2,0.00163406631981444,-0.247713055045128,0.00163455599598072,-0.247713482746419,3.43684002534331e-05,3.40570040611957e-05,-4.89676166282038e-07,4.27701291050298e-07,4.5973423963784e-07,1.00003425282587e-26,0,0.220000000001164,0,0.069999999999709,0.0299999999988358,0.0100000000020373,0.0100000000093132,0.0499999999956344,0,0.360000000000582,0.0400000000081491,3.36000000000058,1.9899999999916
17,1,-0.666666666666667,-0.666666666666667,c2,0.00163406631981444,-0.247713055045128,0.0016336565856474,-0.247713177055128,3.32066930362747e-05,3.07638009299746e-05,4.09734167039488e-07,1.22009999881101e-07,3.022983027661e-07,1.00003425282587e-26,0,0.209999999999127,0.0800000000081127,0.110000000000582,0.0699999999778811,0,0,0.069999999999709,0,0.409999999996217,0.149999999985994,3.7699999999968,2.13999999997759
18,1,-0.666666666666667,-0.666666666666667,c2,0.00163406631981444,-0.247713055045128,0.00163429982865082,-0.247713053975843,3.25312645664615e-05,2.86863766589999e-05,-2.33508836378071e-07,-1.06928443877052e-09,1.65117412824711e-07,1.00003425282587e-26,0,0.160000000003492,0,0.0400000000008731,0.0200000000186265,0,0,0,0.0199999999895226,0.200000000004366,0.0400000000081491,3.97000000000116,2.17999999998574
19,1,-0.666666666666667,-0.666666666666667,c2,0.00163406631981444,-0.247713055045128,0.00163405810486561,-0.247713092696483,3.01084647678209e-05,2.9405120090273e-05,8.2149488322969e-09,3.76513555888636e-08,2.72498620363141e-08,1.00003425282587e-26,0,0.069999999999709,0.0199999999995271,0.0299999999988358,0.0299999999988358,0,0.0100000000093132,0,0,0.110000000000582,0.0600000000076761,4.08000000000175,2.23999999999342
20,1,-0.666666666666667,-0.666666666666667,c2,0.00163406631981444,-0.247713055045128,0.00163389183250462,-0.247713046366507,2.86849665742697e-05,3.18442498788398e-05,1.74487309823057e-07,-8.67862059994451e-09,1.23533679101703e-07,1.00003425282587e-26,0,0.0299999999988358,0.0299999999988358,0.0299999999988358,0.0499999999992724,0,0,0.0200000000040745,0,0.0800000000017462,0.0799999999981083,4.16000000000349,2.31999999999152
21,1,-0.666666666666667,-0.666666666666667,c2,0.00163406631981444,-0.247713055045128,0.00163409222622446,-0.247713060983447,2.59082546816517e-05,3.06070582865737e-05,-2.59064100172068e-08,5.93831928075161e-09,1.87936919717732e-08,1.00003425282587e-26,0,0.0299999999988358,0.0599999999985812,0.0599999999976717,0.0500000000174623,0.0199999999967986,0,0.0300000000061118,0,0.139999999999418,0.110000000016043,4.30000000000291,2.44999999999709
22,1,-0.666666666666667,-0.666666666666667,c2,0.00163406631981444,-0.247713055045128,0.00163408193718706,-0.247713060443697,2.54023506844941e-05,2.998471889709e-05,-1.56173726173492e-08,5.39856981340847e-09,1.16843246167541e-08,1.00003425282587e-26,0,0.139999999999418,0.129999999995562,0.0499999999956344,0.0700000000069849,0,0,0,0,0.189999999995052,0.200000000002547,4.48999999999796,2.64999999999964
23,1,-0.666666666666667,-0.666666666666667,c2,0.00163406631981444,-0.247713055045128,0.00163407053058118,-0.247713012751438,2.42157240897778e-05,2.78822819319963e-05,-4.21076673529086e-09,-4.22936898836213e-08,3.0054007723355e-08,1.00003425282587e-26,0,0.0500000000029104,0.119999999995343,0.0400000000008731,0.0499999999883585,0,0,0,0,0.0900000000037835,0.169999999983702,4.58000000000175,2.81999999998334
24,1,-0.666666666666667,-0.666666666666667,c2,0.00163406631981444,-0.247713055045128,0.00163405531753757,-0.247713016910638,2.45734858159873e-05,2.73990462995314e-05,1.10022768673446e-08,-3.81344893440883e-08,2.80650082291105e-08,1.00003425282587e-26,0,0.0100000000020373,0.0500000000001819,0.069999999999709,0.0899999999965075,0,0,0.0100000000020373,0.0200000000186265,0.0900000000037835,0.169999999995525,4.69000000000233,2.98999999997886
25,1,-0.666666666666667,-0.666666666666667,c2,0.00163406631981444,-0.247713055045128,0.00163406797780785,-0.247713018838296,2.38828091017797e-05,2.69517871658807e-05,-1.65799340923201e-09,-3.62068311998698e-08,2.56289247499863e-08,1.00003425282587e-26,0,0.0799999999944703,0.250000000001819,0.0600000000049477,0.0499999999992724,0,0.0200000000186265,0,0,0.139999999999418,0.320000000019718,4.83000000000175,3.30999999999858
26,1,-2,-2,c2,0.812048790778786,0.653691820429211,-0.126549869662995,-0.376276972512869,0.313365274587089,0.345641898617631,0.93859866044178,1.02996879294208,0.985343381724785,1.00003425282587e-26,0,0.0100000000020373,0.06999999999789,0.0800000000017462,0.10999999998603,0,0.220000000001164,0.0199999999967986,0,0.110000000000582,0.399999999985084,4.95999999999913,3.70999999998367
27,1,-2,-2,c2,0.812048790778786,0.653691820429211,0.0367386267075744,-0.19709282700228,0.340988438669582,0.375717740502281,0.775310164071211,0.850784647431491,0.813922713412415,1.00003425282587e-26,0,0.200000000004366,0,0.0299999999988358,0.0499999999883585,0,0,0.0199999999967986,0,0.25,0.0599999999976717,5.20999999999913,3.76999999998134
28,1,2,2,c1,0.931059854020269,0.987435444167095,0.215032372510905,0.157732854417191,0.418877420997522,0.463065879739484,0.716027481509365,0.829702589749905,0.774952173270823,1.00003425282587e-26,0,0.0299999999988358,0.169999999994616,0.0600000000049477,0.0799999999871943,0,0,0.0199999999967986,0,0.110000000000582,0.24999999998181,5.31999999999971,4.03999999998177
29,1,-2,-0.461538461538462,c2,0.579343350501109,0.452491853865914,0.196170987418554,-0.0146996160237904,0.338192467003485,0.371055211680405,0.383172363082554,0.467191469889704,0.427252226072592,1.00003425282587e-26,0,0.0400000000008731,0.0400000000081491,0.0800000000017462,0.0699999999778811,0,0,0,0.0200000000186265,0.120000000002619,0.130000000004657,5.44000000000233,4.17999999999574
30,1,-0.358974358974359,-0.871794871794872,c2,0.071476115982391,-0.151384967763388,0.0926392850265074,-0.134737217195834,0.193875423312476,0.223153263370017,-0.0211631690441164,-0.0166477505675535,0.0190397915291807,1.00003425282587e-26,0,0.0299999999988358,0.239999999996144,0.0800000000017462,0.0700000000069849,0.0199999999967986,0,0.0299999999988358,0,0.159999999996217,0.310000000003129,5.59999999999854,4.48999999999887
