iter,obs_within_iter,x1,x2,z,y1,y2,pred_mu_y1,pred_mu_y2,pred_sd_y1,pred_sd_y2,pred_err_y1,pred_err_y2,pred_rmse_iter,hv_after,igd_plus_after,fit_wall_sec,fit_cpu_sec,predict_wall_sec,predict_cpu_sec,acq_wall_sec,acq_cpu_sec,pred_eval_wall_sec,pred_eval_cpu_sec,iter_wall_sec,iter_cpu_sec,total_wall_sec,total_cpu_sec
1,1,1.8974358974359,0.256410256410256,c1,0.726378252509055,0.726911338785722,0.779139389634424,0.867545396598318,0.328921855290554,0.328921855290553,-0.0527611371253699,-0.140634057812596,0.219800120006001,1.00006677997707e-26,0.0649135555897474,0.0299999999988358,0.249999999999545,0.599999999998545,0.820000000004711,0.840000000000146,3.31999999999744,0.240000000001601,0,1.71999999999753,4.39000000000169,1.71999999999753,4.39000000000169
1,2,1.8974358974359,0.256410256410256,c2,0.978847640580887,0.745476210957459,0.668064580551616,0.473261985006915,0.328921855290551,0.328921855290551,0.31078306002927,0.272214225950544,0.219800120006001,1.00006677997707e-26,0.0649135555897474,0.0299999999988358,0.249999999999545,0.599999999998545,0.820000000004711,0.840000000000146,3.31999999999744,0.240000000001601,0,1.71999999999753,4.39000000000169,1.71999999999753,4.39000000000169
2,1,-0.256410256410256,-0.564102564102564,c1,0.869381004532399,0.888587499569258,0.875930501046613,0.922748648588679,0.169612858982843,0.169612858982843,-0.00654949651421399,-0.0341611490194206,0.0622200440113521,1.00006677997707e-26,0.0649135555897474,3.46999999999753,0,1.55000000000291,0.570000000002437,0.469999999997526,3.10999999999785,0.0300000000024738,0.0300000000038381,5.52000000000044,3.71000000000413,7.27000000000044,8.10000000000582
2,2,-0.256410256410256,-0.564102564102564,c2,0.105766884113693,-0.105127845361781,0.197850354424984,-0.028995789067397,0.169612858982843,0.169612858982843,-0.0920834703112907,-0.076132056294384,0.0622200440113521,1.00006677997707e-26,0.0649135555897474,3.46999999999753,0,1.55000000000291,0.570000000002437,0.469999999997526,3.10999999999785,0.0300000000024738,0.0300000000038381,5.52000000000044,3.71000000000413,7.27000000000044,8.10000000000582
3,1,-0.564102564102564,-1.58974358974359,c1,0.995966802772213,1.18649254195146,0.93344527636065,0.995881232288098,0.187173832114044,0.187173832114044,0.0625215264115638,0.190611309663366,0.205012844284363,1.00006677997707e-26,0.0649135555897474,0.219999999997526,0,0.700000000000728,1.71999999999707,0.700000000000728,3.25000000000136,0.0499999999992724,0,1.66999999999825,4.96999999999844,8.93999999999869,13.0700000000043
3,2,-0.564102564102564,-1.58974358974359,c2,0.329511663045836,0.178590154785197,0.122351911904152,-0.11289619164763,0.187173832114044,0.187173832114044,0.207159751141685,0.291486346432828,0.205012844284363,1.00006677997707e-26,0.0649135555897474,0.219999999997526,0,0.700000000000728,1.71999999999707,0.700000000000728,3.25000000000136,0.0499999999992724,0,1.66999999999825,4.96999999999844,8.93999999999869,13.0700000000043
4,1,-0.358974358974359,-0.461538461538462,c1,0.864909257624362,0.882453074593682,0.888797152084838,0.917408297369177,0.0805739302405946,0.0805739302405947,-0.0238878944604758,-0.0349552227754953,0.0250292734184262,1.00006677997707e-26,0.0649135555897474,0.889999999999418,0.00999999999976353,0.790000000000873,1.74999999999773,0.299999999999272,3.27999999999884,0,0,1.97999999999956,5.03999999999633,10.9399999999987,18.1100000000006
4,2,-0.358974358974359,-0.461538461538462,c2,0.0867539983808535,-0.1306896474884,0.0707980023493512,-0.152108452334159,0.0805739302405946,0.0805739302405947,0.0159559960315023,0.0214188048457587,0.0250292734184262,1.00006677997707e-26,0.0649135555897474,0.889999999999418,0.00999999999976353,0.790000000000873,1.74999999999773,0.299999999999272,3.27999999999884,0,0,1.97999999999956,5.03999999999633,10.9399999999987,18.1100000000006
5,1,-0.461538461538462,-0.871794871794872,c1,0.954358126554414,1.03636041226967,0.972770425430195,1.05478963565551,0.0422123875673948,0.0422123875673938,-0.0184122988757807,-0.0184292233858361,0.0200560211641643,1.00006677997707e-26,0.0649135555897474,0.0200000000004366,0,0.650000000001455,1.93000000000711,0.379999999997381,3.34999999999127,0.0600000000013097,0,1.13000000000102,5.27999999999838,12.0699999999997,23.410000000003
5,2,-0.461538461538462,-0.871794871794872,c2,0.0427713414371579,-0.190636808946382,0.0200803151813,-0.211019258325921,0.0422123875673936,0.0422123875673942,0.0226910262558578,0.0203824493795389,0.0200560211641643,1.00006677997707e-26,0.0649135555897474,0.0200000000004366,0,0.650000000001455,1.93000000000711,0.379999999997381,3.34999999999127,0.0600000000013097,0,1.13000000000102,5.27999999999838,12.0699999999997,23.410000000003
6,1,1.8974358974359,2,c1,0.915479825716329,0.959276464173141,0.433952218879096,0.143420437275202,0.41068863720231,0.499113403024409,0.481527606837233,0.81585602689794,0.567773422204642,1.00006677997707e-26,0.0649135555897474,0.889999999999418,0.239999999999327,1.31000000000131,2.01000000000067,0.69999999999709,3.19000000000233,0.200000000000728,0,3.13999999999942,5.44000000000233,15.2099999999991,28.8500000000054
6,2,1.8974358974359,2,c2,0.999137809957581,0.749948732256368,0.647388335458327,0.232021082612814,0.404980471455707,0.409038085137985,0.351749474499253,0.517927649643554,0.567773422204642,1.00006677997707e-26,0.0649135555897474,0.889999999999418,0.239999999999327,1.31000000000131,2.01000000000067,0.69999999999709,3.19000000000233,0.200000000000728,0,3.13999999999942,5.44000000000233,15.2099999999991,28.8500000000054
7,1,-1.17948717948718,1.38461538461538,c1,0.959828751236913,1.04957233533495,0.818945990457943,0.89126201857493,2614.02337789163,2614.02337801847,0.14088276077897,0.158310316760017,0.284439773552197,1.00006677997707e-26,0.0649135555897474,2.77999999999884,0.10000000000673,0.860000000000582,1.77999999999201,0.340000000000146,3.15000000000873,0,0,3.97999999999956,5.03000000000748,19.1899999999987,33.8800000000128
7,2,-1.17948717948718,1.38461538461538,c2,0.899663167671443,0.71000142304892,0.515409691052182,0.347975048122519,2614.02337789165,2614.02337801846,0.38425347661926,0.362026374926401,0.284439773552197,1.00006677997707e-26,0.0649135555897474,2.77999999999884,0.10000000000673,0.860000000000582,1.77999999999201,0.340000000000146,3.15000000000873,0,0,3.97999999999956,5.03000000000748,19.1899999999987,33.8800000000128
8,1,-2,-1.17948717948718,c1,0.999835093369132,1.23715840232416,1.12800697986688,1.29951209633327,0.212003044248346,0.214272808836936,-0.12817188649775,-0.0623536940091109,0.586905491940739,1.00006677997707e-26,0.0649135555897474,0.0499999999992724,0.0100000000002183,0.889999999999418,2.850000000009,0.390000000003056,3.01999999999998,0.0599999999976717,0,1.38999999999942,5.8800000000092,20.5799999999981,39.7800000000116
8,2,-2,-1.17948717948718,c2,0.61223587829528,0.484542700346964,-0.188327313205946,-0.361988330773102,0.208937690305037,0.210121412427528,0.800563191501226,0.846531031120066,0.586905491940739,1.00006677997707e-26,0.0649135555897474,0.0499999999992724,0.0100000000002183,0.889999999999418,2.850000000009,0.390000000003056,3.01999999999998,0.0599999999976717,0,1.38999999999942,5.8800000000092,20.5799999999981,39.7800000000116
9,1,-0.256410256410256,-0.769230769230769,c1,0.91678686871046,0.961533136583176,0.930865894312092,0.95017325011213,0.0952461732650605,0.0957243866282927,-0.0140790256016321,0.0113598864710468,0.0240093847430537,1.00006677997707e-26,0.0649135555897474,2.68000000000029,0.309999999999945,2.06999999999971,2.65999999999076,0.479999999999563,3.26999999999998,0.0499999999992724,0,5.27999999999884,6.23999999999069,25.8799999999974,46.0200000000023
9,2,-0.256410256410256,-0.769230769230769,c2,0.0983180024336409,-0.115116825199939,0.0637530455511524,-0.143113253474723,0.0955132227003449,0.0951375138008762,0.0345649568824885,0.0279964282747843,0.0240093847430537,1.00006677997707e-26,0.0649135555897474,2.68000000000029,0.309999999999945,2.06999999999971,2.65999999999076,0.479999999999563,3.26999999999998,0.0499999999992724,0,5.27999999999884,6.23999999999069,25.8799999999974,46.0200000000023
10,1,-0.256410256410256,-0.769230769230769,c1,0.91678686871046,0.961533136583176,0.92797328495746,0.952920312987771,0.0899209231746398,0.0902284694033038,-0.0111864162470003,0.00861282359540494,0.0186164958003175,1.00006677997707e-26,0.0649135555897474,0.540000000000873,0.0399999999895044,0.850000000002183,2.06000000000358,0.590000000000146,3.07000000000698,0.139999999999418,0,2.14000000000306,5.17000000000007,28.0200000000004,51.2000000000116
10,2,-0.256410256410256,-0.769230769230769,c2,0.0983180024336409,-0.115116825199939,0.0713265891960191,-0.136528098777944,0.0900864669467776,0.0898523092476759,0.0269914132376218,0.0214112735780051,0.0186164958003175,1.00006677997707e-26,0.0649135555897474,0.540000000000873,0.0399999999895044,0.850000000002183,2.06000000000358,0.590000000000146,3.07000000000698,0.139999999999418,0,2.14000000000306,5.17000000000007,28.0200000000004,51.2000000000116
11,1,-0.256410256410256,-0.769230769230769,c1,0.91678686871046,0.961533136583176,0.926073999594109,0.954600454151375,0.0856746353297487,0.0858868255245381,-0.00928713088364974,0.00693268243180112,0.0152061770686163,1.00006677997707e-26,0.0649135555897474,1.66999999999825,0.129999999988286,0.639999999999418,2.20000000001255,0.31000000000131,3.06999999999243,0,0,2.63999999999942,5.39999999999327,30.6599999999999,56.6000000000049
11,2,-0.256410256410256,-0.769230769230769,c2,0.0983180024336409,-0.115116825199939,0.0761679768301065,-0.132436604764962,0.0857861637304751,0.0856278437601775,0.0221500256035344,0.0173197795650227,0.0152061770686163,1.00006677997707e-26,0.0649135555897474,1.66999999999825,0.129999999988286,0.639999999999418,2.20000000001255,0.31000000000131,3.06999999999243,0,0,2.63999999999942,5.39999999999327,30.6599999999999,56.6000000000049
12,1,-0.256410256410256,-0.769230769230769,c1,0.91678686871046,0.961533136583176,0.924729021658464,0.955733172622047,0.0821253938940089,0.082279396255816,-0.00794215294800482,0.00579996396112958,0.0128537042442988,1.00006677997707e-26,0.0649135555897474,0.0599999999976717,0.139999999996235,0.850000000002183,2.84000000000196,0.529999999998836,3.21999999999707,0.110000000000582,0.0200000000040745,1.54999999999927,6.21999999999935,32.2099999999991,62.8200000000043
12,2,-0.256410256410256,-0.769230769230769,c2,0.0983180024336409,-0.115116825199939,0.0795326210252369,-0.129651711547638,0.0822049982552163,0.0820917051580947,0.0187853814084039,0.0145348863476985,0.0128537042442988,1.00006677997707e-26,0.0649135555897474,0.0599999999976717,0.139999999996235,0.850000000002183,2.84000000000196,0.529999999998836,3.21999999999707,0.110000000000582,0.0200000000040745,1.54999999999927,6.21999999999935,32.2099999999991,62.8200000000043
13,1,-0.256410256410256,-0.769230769230769,c1,0.91678686871046,0.961533136583176,0.92372573238103,0.956548206061768,0.0790695160333316,0.0791856415148057,-0.00693886367057006,0.00498493052140814,0.0111324841285478,1.00006677997707e-26,0.0649135555897474,4.34000000000015,0.089999999997417,1.47999999999956,2.17000000000189,0.43999999999869,3.0300000000093,0,0.0199999999895226,6.2599999999984,5.30999999999813,38.4699999999975,68.1300000000024
13,2,-0.256410256410256,-0.769230769230769,c2,0.0983180024336409,-0.115116825199939,0.0820078896290397,-0.127635278397065,0.0791288052945099,0.0790442615889151,0.0163101128046012,0.012518453197126,0.0111324841285478,1.00006677997707e-26,0.0649135555897474,4.34000000000015,0.089999999997417,1.47999999999956,2.17000000000189,0.43999999999869,3.0300000000093,0,0.0199999999895226,6.2599999999984,5.30999999999813,38.4699999999975,68.1300000000024
