iter,obs_within_iter,x1,x2,z,y1,y2,pred_mu_y1,pred_mu_y2,pred_sd_y1,pred_sd_y2,pred_err_y1,pred_err_y2,pred_rmse_iter,hv_after,igd_plus_after,fit_wall_sec,fit_cpu_sec,predict_wall_sec,predict_cpu_sec,acq_wall_sec,acq_cpu_sec,pred_eval_wall_sec,pred_eval_cpu_sec,iter_wall_sec,iter_cpu_sec,total_wall_sec,total_cpu_sec
1,1,0.769230769230769,0.461538461538462,c1,0.0500353936965179,0.275338722271433,0.165776331278571,0.359153333616528,0.116222947819763,0.116222947819763,-0.115740937582053,-0.0838146113450944,0.101046656815805,8.07471913191381e-05,0.525286445899606,1.46999999999389,0.0200000000186265,0.780000000006112,1.60999999998148,0.389999999999418,3.05000000001746,0.0499999999956344,0,2.68999999999505,4.68000000001757,2.68999999999505,4.68000000001757
2,1,-1.38461538461538,0.974358974358974,c1,0.971486575939337,1.08114081588299,0.572110600642029,0.68078065641726,0.17878295327613,0.17878295327613,0.399375975297307,0.400360159465726,0.399868370174547,9.99789214953489e-27,0.525286445899606,1.13999999999942,0.0100000000002183,0.959999999999127,1.4199999999928,0.400000000001455,3.3300000000072,0.0500000000029104,0,2.55000000000291,4.76000000000022,5.25,9.44000000001779
3,1,0.769230769230769,-2,c1,0.997165328472156,1.19675836659301,0.0798218992678206,0.300926362955324,0.0748432299065658,0.0748432299065658,0.917343429204335,0.895832003637687,0.906651516803971,9.99789214953489e-27,0.525286445899606,1.05999999999767,0.0599999999976717,0.75,1.0100000000034,0.459999999999127,3.2899999999986,0.0100000000020373,0.0099999999802094,2.27999999999884,4.36999999997988,7.52999999999884,13.8099999999977
4,1,-0.0512820512820513,-1.38461538461538,c2,0.358894976351666,0.213337991139903,0.729356736196936,0.577087483504921,0.202218630675483,0.203294529550767,-0.37046175984527,-0.363749492365017,0.367120966919258,9.99789214953489e-27,0.525286445899606,0.799999999995634,0.330000000014024,0.860000000000582,1.93999999998869,0.389999999999418,2.96000000000231,0,0,2.04999999999563,5.23000000000502,9.57999999999447,19.0400000000027
5,1,0.461538461538462,-1.28205128205128,c2,0.571792094662475,0.44498826194617,0.377976087686739,0.239947474257969,0.0749268086110484,0.0749125874132038,0.193816006975736,0.2050407876882,0.199507354721344,0.00402139918773567,0.525286445899606,0.0299999999988358,0.0199999999895226,0.700000000004366,1.56000000001359,0.799999999995634,6.48000000000138,0.0100000000020373,0,1.54000000000087,8.06000000000449,11.1199999999953,27.1100000000165
6,1,-0.666666666666667,-1.38461538461538,c2,0.205725893716775,0.0256331509980336,0.258593031255477,0.100425801588758,0.0658708187284428,0.065814780256307,-0.0528671375387012,-0.074792650590724,0.0647644764277535,0.0480660163273605,0.341132851493991,0.0200000000040745,0.0099999999802094,0.659999999996217,1.54000000001997,0.620000000002619,6.24000000000115,0,0,1.30000000000291,7.79000000000133,12.4199999999983,34.9000000000178
7,1,-0.564102564102564,-1.38461538461538,c2,0.213162912871047,0.0351107759406262,0.392965910295372,0.222645108978537,0.209190817291163,0.209164568730632,-0.179802997424325,-0.187534333037911,0.183709341012842,0.00816412490237392,0.341132851493991,0.0100000000020373,0.0399999999799547,0.830000000001746,1.67000000001281,0.610000000000582,6.13000000000466,0,0,1.45000000000437,7.83999999999742,13.8899999999994,42.7400000000152
8,1,0.769230769230769,0.461538461538462,c2,0.830118158409434,0.666400102609717,0.448478638074935,0.306306230452707,0.258940747162094,0.261031340024168,0.381639520334499,0.36009387215701,0.371023126129744,0.00816412490237392,0.341132851493991,0.0499999999956344,0.0199999999895226,0.810000000004948,0.980000000010477,0.479999999995925,6.38999999998487,0,0,1.33999999999651,7.38999999998487,15.2299999999959,50.1300000000001
9,1,-0.769230769230769,-1.28205128205128,c2,0.153978312602246,-0.0412871162306171,0.210210643243288,0.0274455056305899,0.0563476132273836,0.0565728581257236,-0.0562323306410426,-0.068732621861207,0.0627943003673073,0.0255906311498465,0.256554940686813,0.0400000000008731,0.0899999999987813,0.589999999996508,1.64000000000033,0.660000000003492,6.29999999999882,0,0,1.29000000000087,8.02999999999793,16.5199999999968,58.159999999998
10,1,-2,-2,c2,0.812048790778786,0.653691820429211,0.0651060046486691,0.386942450525908,0.309992179800933,0.30576687858538,0.746942786130117,0.266749369903304,0.560838101458714,0.00691131290952411,0.256554940686813,0.0199999999967986,0.0500000000183718,0.639999999999418,2.41999999999643,0.810000000004948,6.51999999998952,0,0,1.47000000000116,8.99000000000433,18,67.1500000000024
