iter,obs_within_iter,x1,x2,z,y1,y2,pred_mu_y1,pred_mu_y2,pred_sd_y1,pred_sd_y2,pred_err_y1,pred_err_y2,pred_rmse_iter,hv_after,igd_plus_after,fit_wall_sec,fit_cpu_sec,predict_wall_sec,predict_cpu_sec,acq_wall_sec,acq_cpu_sec,pred_eval_wall_sec,pred_eval_cpu_sec,iter_wall_sec,iter_cpu_sec,total_wall_sec,total_cpu_sec
1,1,-0.666666666666667,-1.07692307692308,c2,0.0668597311867715,-0.157665239959398,0.164901539937307,-0.0549083758751432,0.151710631289434,0.151710631289435,-0.0980418087505354,-0.102756864084254,0.100427011753578,1.46428538083992e-06,0.11118901186291,0.00999999999976353,0.109999999998337,0.320000000000164,0.610000000000355,0,0,0,0.0200000000000102,0.329999999999927,0.739999999998702,0.329999999999927,0.739999999998702
2,1,-0.461538461538462,-1.17948717948718,c2,0.13213883056105,-0.0700311692060029,0.446700649555752,0.239070575145599,0.247681250354409,0.247681250354409,-0.314561818994701,-0.309101744351602,0.31184373196399,1.00006677997707e-26,0.11118901186291,0.0299999999997453,0,0.550000000000182,1.67000000000115,0,0,0,0.0100000000002183,0.579999999999927,1.68000000000137,0.909999999999854,2.42000000000007
3,1,2,-1.07692307692308,c2,0.976069359423791,0.744623049312146,0.0414865623277874,-0.192515110010782,0.00124531348991159,0.00124531349779033,0.934582797096004,0.937138159322928,0.935861350384488,1.00006677997707e-26,0.11118901186291,0.0300000000002001,0.0399999999986278,0.649999999999636,2.07000000000087,0,0,0,0,0.679999999999836,2.1099999999995,1.58999999999969,4.52999999999957
4,1,-0.666666666666667,-1.38461538461538,c2,0.205725893716775,0.0256331509980336,0.162301104792012,-0.0585513079934664,0.157749728586345,0.157749728586345,0.0434247889247631,0.0841844589915,0.0669803531972316,1.00006677997707e-26,0.11118901186291,0.0300000000002001,0.0600000000000023,0.610000000000127,1.64999999999969,0,0,0,0,0.640000000000327,1.7099999999997,2.23000000000002,6.23999999999927
5,1,-0.871794871794872,-1.17948717948718,c2,0.117620200464261,-0.0893010762959626,0.210968708162801,0.00853555448034571,0.131959141046076,0.131959141046076,-0.0933485076985404,-0.0978366307763083,0.09561890558672,1.00006677997707e-26,0.11118901186291,0.0299999999997453,0.0900000000006571,0.599999999999909,1.78000000000009,0,0,0.0100000000002183,0,0.639999999999873,1.87000000000074,2.86999999999989,8.11000000000001
6,1,-0.769230769230769,-0.974358974358974,c2,0.0369419246677467,-0.198666288858587,0.0710460014369183,-0.166459409287452,0.0175272841186223,0.0175272841186249,-0.0341040767691716,-0.0322068795711346,0.0331690453886384,0.00122666144805011,0.0604336837738263,0.0399999999999636,0.0600000000002012,0.639999999999873,2.03000000000009,0,0,0,0,0.679999999999836,2.20000000000087,3.54999999999973,10.3299999999995
7,1,-0.666666666666667,-0.769230769230769,c2,0.00274362573696274,-0.24616103282108,0.00973915326313302,-0.240330752080518,0.00914232460619491,0.00914232460615981,-0.00699552752617028,-0.00583028074056169,0.00643931591410029,0.00162423945167856,0.00190785090720417,0.0100000000002183,0.0200000000004366,0.630000000000109,1.9899999999995,0,0,0,0,0.640000000000327,2.00999999999993,4.19000000000005,12.3399999999994
8,1,-0.769230769230769,-0.666666666666667,c2,0.00274362573696274,-0.24616103282108,0.00307237083482326,-0.245959872259401,0.00462346598886196,0.00462346598892514,-0.000328745097860517,-0.000201160561679181,0.000272524229145231,1.00003208434913e-26,0.00190785090720417,0.0299999999997453,0.0400000000004184,0.470000000000255,1.74999999999943,0,0,0,0,0.5,1.78999999999985,4.69000000000005,14.1299999999993
9,1,-0.666666666666667,-0.666666666666667,c2,0.00163406631981444,-0.247713055045128,0.0014199629293441,-0.247991545649257,0.00064692460037359,0.000646924600473271,0.000214103390470344,0.000278490604128878,0.000248392107764079,1.7220608745815e-06,0,0.0199999999999818,0.17000000000013,0.510000000000218,1.77999999999892,0,0,0,0,0.5300000000002,1.94999999999905,5.23000000000002,16.0799999999983
10,1,-2,-2,c2,0.812048790778786,0.653691820429211,-0.0423262781833387,-0.692963541003223,0.302338750170296,0.325712575894351,0.854375068962124,1.34665536143243,1.12770506360013,1.00003425282587e-26,0,0.00999999999976353,0.270000000001005,0.599999999999909,2.01000000000073,0,0,0.0300000000002001,0,0.639999999999873,2.28000000000173,5.88999999999987,18.3600000000001
11,1,-2,-2,c2,0.812048790778786,0.653691820429211,0.162388218750095,-0.223834751351887,0.368414095819676,0.383418358441814,0.64966057202869,0.877526571781099,0.772046547505568,1.00003425282587e-26,0,0.0900000000001455,0,0.5,2.45000000000022,0,0,0,0,0.590000000000146,2.48999999999927,6.48000000000002,20.8499999999993
